epoch,kl_loss,loss,reconstruction_loss
79,156.45578002929688,9069.9638671875,8913.5048828125
80,156.6046600341797,9042.212890625,8885.6171875
81,156.5287628173828,9049.892578125,8893.3642578125
82,156.8536376953125,9029.5771484375,8872.724609375
83,156.84164428710938,9037.09765625,8880.25390625
84,156.58950805664062,9029.6689453125,8873.080078125
85,156.87530517578125,9017.8828125,8861.0126953125
86,156.94583129882812,9015.75,8858.7998046875
87,156.83570861816406,9012.8359375,8856.0068359375
88,156.9115447998047,8982.9140625,8826.00390625
89,157.2086639404297,8994.0087890625,8836.8037109375
90,156.83665466308594,8998.716796875,8841.884765625
91,156.8464813232422,8973.37890625,8816.533203125
92,157.09921264648438,8965.7255859375,8808.6259765625
93,157.02183532714844,8948.59765625,8791.576171875
94,156.85264587402344,8961.150390625,8804.29296875
95,157.01695251464844,8967.8310546875,8810.8134765625
96,157.07220458984375,8937.0595703125,8779.9892578125
97,157.21817016601562,8947.083984375,8789.8720703125
98,157.1624755859375,8940.68359375,8783.521484375
99,157.1436309814453,8930.34375,8773.2001953125
100,157.38218688964844,8941.412109375,8784.029296875
101,157.17523193359375,8926.923828125,8769.7412109375
102,157.23965454101562,8940.625,8783.3798828125
103,157.2032928466797,8919.4443359375,8762.2431640625
104,157.32273864746094,8906.529296875,8749.2099609375
105,157.17300415039062,8894.25390625,8737.08203125
106,157.65655517578125,8896.41796875,8738.76171875
107,157.34474182128906,8899.7490234375,8742.408203125
108,157.2992401123047,8894.666015625,8737.3662109375
109,157.2147674560547,8885.3564453125,8728.14453125
110,157.5055389404297,8895.923828125,8738.4169921875
111,157.05560302734375,8913.92578125,8756.8662109375
112,157.38148498535156,8884.61328125,8727.232421875
113,157.37278747558594,8873.73828125,8716.3681640625
114,157.52171325683594,8875.267578125,8717.7470703125
115,157.592041015625,8865.9013671875,8708.3046875
116,157.34364318847656,8866.8994140625,8709.5595703125
117,157.61798095703125,8864.8193359375,8707.205078125
118,157.1661376953125,8865.5107421875,8708.3427734375
119,157.125244140625,8856.0322265625,8698.908203125
120,157.34423828125,8854.734375,8697.3916015625
121,157.22161865234375,8840.08984375,8682.8720703125
122,157.4153289794922,8838.1669921875,8680.7548828125
123,157.48773193359375,8830.53515625,8673.0458984375
124,157.53880310058594,8824.0712890625,8666.53515625
125,157.59719848632812,8835.3828125,8677.7802734375
126,157.5243377685547,8831.5791015625,8674.0576171875
127,157.51185607910156,8820.8251953125,8663.31640625
